Method,1,3,4,5,6,7,8,9,11,14,15,17,18,19,20,21,22_ctrl,22_CTCL,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49,51,53,54,13,10,29,55,12,61,62,63,AVG,Reversed_rank
cell2fate,NA,NA,0.713357642,NA,0.960639532,0.939342519,0.978050004,0.957598205,NA,NA,0.750537938,0.879519457,0.875778454,0.39069523,0.916682148,0.916989037,0.593581773,0.73588433,0.970937287,0.933131817,0.735751361,0.952916695,0.425862502,NA,0.955123213,0.846064114,0.792080665,0.963197964,0.898726159,NA,0.942034955,0.919298222,NA,NA,NA,0.831675571,0.958763227,NA,0.947511384,NA,0.567772878,0.518097282,NA,NA,0.936642834,0.775332169,0.98598637,NA,0.70181152,0.798320805,0.955605975,NA,NA,NA,29.92130124,6
cellDancer,0.55531213,0.207539428,0.070961516,0.207249573,0.002748519,0.751660534,0.131979202,0.630000874,0.509190331,0.204920643,0.11603875,0.359230342,0.156292459,0.987876022,0.102718476,0.165354254,0.011831932,0.009964208,0.273091206,0.074553064,0.633148882,0.442773351,0.068359762,0.67825075,0.491331461,0.42116576,0.499001006,0.386009239,0.27245845,NA,0.34750754,0.097870498,0.277345882,0.225275488,0.104362151,0.071571118,0.208351697,0.141225792,0.071025708,0.324011734,0.011420329,0.169833627,0.133400853,0.343414412,0.142362577,0.0934679,0.227852878,0.117945895,0.419492396,0.1910363,0.07981242,0.369469129,0.41432266,0.582795395,14.5861865,1
DeepVelo,0.927525191,0.958776827,0.921092974,0.959086523,0.922826302,0.905238835,0.963023387,0.990364245,0.988802666,0.965794264,0.801168366,0.889979991,0.780624409,0.863396707,0.939694338,0.90289826,0.825155908,0.900134486,0.909650282,0.969169845,0.858112456,0.837776239,0.672664634,0.919582177,0.884083908,0.840053116,0.899049935,0.537693171,0.933084935,0.8409896,0.994814481,0.660168497,0.973125523,0.981646579,0.942666879,0.872890758,0.947260992,0.968852762,0.953664365,0.961756797,0.822866497,0.93335232,0.947834137,0.91654297,0.917588056,0.873678016,0.81730301,0.967417851,0.915767474,0.979089394,0.964280513,0.796402129,0.827711624,0.915470636,48.35964624,17
k-velo,0.664581097,0.659051734,0.754674484,0.262490191,0.96470972,0.887809769,0.488792026,0.762765834,0.736946824,6.97E-06,0.545701686,0.331813775,0.598923711,0.767596441,0.814269423,0.533040748,0.010019112,0.31267522,0.695306514,0.51712483,0.642519199,0.549173301,0.006070609,0.352983586,0.701764216,0.985741987,0.588369319,0.294088365,0.518395088,NA,0.709245981,0.91814225,0.937150402,0.967769799,0.001334385,0.926148693,0.748796023,NA,0.638880637,NA,0.578480689,0.00441768,NA,0.424982815,0.585078139,0.548137322,0.478327133,0.005402168,NA,0.60853137,NA,0.792764394,0.874518118,0.901359944,27.59687372,5
LatentVelo,0.999502277,0.999679315,0.999696656,NA,NA,0.999141647,0.998782571,0.999295196,NA,0.999899977,0.999152406,0.998507824,0.999033975,0.998164928,0.999854961,0.999444802,0.998902531,0.999522504,0.998763496,0.999660478,0.999678225,0.998585505,0.999426733,0.999175472,0.999623571,0.992820714,0.999526282,0.998471932,0.999863467,NA,0.999043035,0.999270517,NA,0.999964338,0.999752179,NA,0.999490232,NA,0.999167997,0.999841407,NA,0.99976278,NA,0.999656392,0.999420602,0.999129946,0.999458645,NA,0.999979219,0.999296512,0.999205227,0.999656829,NA,0.999540722,42.96581402,10
NeuroVelo,0.999976076,0.999939942,0.999929448,0.999833188,0.999925516,0.999921843,0.999947433,0.999918088,0.999938215,0.999161543,0.999788589,0.999851293,0.999947058,0.999904164,0.999721467,0.99995606,0.99992544,0.999948029,0.999326233,0.999833946,0.999882458,0.999841097,0.999918048,0.999924792,0.999994097,0.99998741,0.999978678,0.999993194,0.999978233,NA,0.999924576,0.998172407,0.999905187,0.99997522,0.99996659,0.999907329,0.999873207,0.999913906,0.99998933,0.999930476,0.999697381,0.999969579,0.999843204,0.999984035,0.999909218,0.999721069,0.999978795,0.717413502,0.999972728,0.999978826,0.999993926,0.999251455,0.987406547,0.999217835,52.69608791,19
PhyloVelo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Pyro-Velocity,0.414475369,0.574133442,0.006816223,NA,0.52939201,0.524881155,0.494905044,0.273132299,1.000000119,NA,0.278064372,0.189809876,0.348518929,0.554854192,0.402710272,0.446983949,0.642625509,NA,0.406289867,0.50122189,0.526862502,0.554920395,NA,NA,NA,NA,0.340751233,0.396184261,0.590946601,NA,0.292934515,0.325082478,NA,NA,0.454178318,NA,NA,0.444354641,NA,0.544707595,0.556794757,0.544113634,0.281944156,0.957960518,0.660588504,NA,0.256941802,0.485485558,0.295833136,0.289987621,NA,NA,NA,NA,16.38938674,2
Region Velocity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
scRNAkinetics,0.23406658,0.321964798,0.539372562,NA,0.480207984,0.492881258,0.193626723,0.481932519,0.370085943,0.670550759,0.178397537,0.342006096,0.502004454,0.878866323,0.391800308,0.712355897,0.758513168,NA,0.383818515,0.492383654,0.234650885,0.660848808,0.222756734,0.458194654,0.783268123,0.982698048,0.495831018,0.473141099,0.814023949,NA,0.523910231,0.587796296,0.293042477,NA,0.51659718,0.253546205,0.29299126,0.748963953,0.686302995,0.472653349,NA,0.767839446,0.327657917,0.421189726,0.689877838,0.212056213,0.060352482,0.217052601,NA,0.376283592,0.585778158,0.098090845,NA,0.153908185,21.83613934,4
scVelo dynamical,0.95988569,0.871274638,0.926238467,0.809214102,0.678898333,0.92790499,0.905347931,0.987033296,0.885451645,0.937749908,0.755885375,0.874758921,0.87189797,0.992160154,0.960855794,0.944779178,0.935652784,0.896612717,0.95964309,0.902948704,0.918295183,0.899528103,0.840909947,0.932997401,0.965142873,0.888812769,0.888842334,0.866283599,0.915269043,NA,0.981753092,0.935440499,0.904930633,0.859283644,0.837063702,0.802089396,0.868173208,0.943753433,0.910792173,0.90654523,0.9133931,0.871308684,0.894115084,0.965106438,0.771602824,0.799398198,0.904912281,0.769386277,0.914597713,0.938963055,0.949892744,0.733737222,0.731733776,0.995840727,47.20408807,16
scVelo stochastic,0.954982009,0.93029735,0.791005841,0.947168373,0.811996069,0.844409864,0.882626354,0.951635828,0.992119057,0.917973842,0.782367338,0.969626129,0.570972775,0.981732069,0.726650464,0.869443538,0.483441429,0.493263789,0.915278834,0.776982233,0.855364784,0.906656111,0.769352566,0.960384861,0.689374522,0.674356408,0.958787102,0.934422011,0.829753014,NA,0.878775852,0.876574098,0.819514469,0.832943602,0.906604919,0.978531022,0.782387993,0.945851534,0.927102392,0.997336917,0.922256443,0.573947651,0.002554224,0.967225635,0.600921899,0.963188474,0.698347905,0.922683404,0.863113211,0.809094705,0.947083537,0.916387932,0.937615495,0.923834188,44.16630207,12
SDEvelo,0.979534131,0.989905512,0.939594278,0.98118186,0.939566509,0.958219268,0.983142652,0.999992862,0.998537625,0.99008302,0.735004831,0.897129258,0.698241724,0.999996789,0.917085782,0.961804799,0.720042954,0.939041614,0.999999479,0.984241429,0.999325291,0.997381671,NA,1.000001787,NA,0.999995612,0.999869071,0.971044836,0.999558039,NA,0.999999798,0.645896195,0.945637645,0.997491783,0.981005673,0.9620861,0.839040597,0.996174532,0.985802644,0.998019703,0.972787575,0.999951603,0.778550879,0.933606341,0.973274311,0.866037621,0.923579414,0.987043633,0.911036859,0.978969241,0.892365092,0.987662901,NA,0.98086085,47.11640367,15
STT,0.89475762,0.900871596,0.990382123,0.976515048,0.983269262,0.708281979,0.904073902,0.881075749,0.615801664,0.964523981,0.840726142,0.894838964,0.278443742,0.902788666,0.787562435,0.844315959,0.462360578,NA,0.568609827,0.77725654,0.769364885,0.885809351,0.303447836,0.759147522,NA,NA,0.675359459,0.433560525,0.630106623,NA,0.882794366,NA,0.871483392,0.785948654,0.956750639,0.973143122,0.674125103,0.90388168,NA,0.659814326,NA,0.682613471,0.712482107,0.900255934,0.247484287,0.650116219,0.431584314,0.573077275,0.262830079,0.966686034,NA,0.958325062,NA,0.997121018,33.72376906,7
TFvelo,0.949715572,0.960362523,0.943336555,0.964270759,0.892058537,0.954021667,0.956616065,0.96148115,0.96794059,0.959128798,0.851273913,0.938474639,0.873982618,0.904147921,0.944317097,0.926538759,0.554537233,0.591043963,0.948456819,0.958363623,0.950752676,0.972240816,0.645029899,NA,NA,0.945170063,0.938401291,0.838020853,0.887566017,NA,0.982045839,0.955139074,NA,0.936638057,0.901234507,0.873524266,NA,0.831314568,0.965978478,0.78176925,0.675292944,0.918054336,0.62715755,0.94274864,0.723472002,0.82416443,0.890760714,0.95435591,0.947277111,0.954695395,0.9517349,0.852652641,0.961572884,0.968094945,43.59692886,11
TopicVelo,NA,0.943273808,0.846375576,-9.90E-06,0.553097885,0.843559973,0.868657577,0.338495167,0.000776022,0.705904256,NA,0.961947247,0.126144902,0.164809484,0.711773541,0.10351065,NA,NA,0.169166259,0.137903426,0.872989304,NA,0.105990288,0.061156823,0.797549742,0.797549742,0.972093586,0.113896528,0.000139756,NA,NA,0.067873441,0.049795108,0.032623822,NA,0.953798668,0.785955843,0.459691278,0.569325682,0.055256967,NA,0.092450557,0.346199653,0.95634101,0.079085376,0.523177121,NA,0.029057278,NA,0.608531468,NA,NA,NA,NA,16.80591492,3
UniTVelo,0.998058178,0.995587398,0.988647003,0.998788959,0.997282127,0.943487547,0.99397556,0.996017037,0.993425576,0.914759092,0.459713234,0.678106179,0.411875418,0.98284198,0.681330321,0.997251877,0.999830202,0.99947586,0.991831303,0.992075494,0.991096177,0.976716779,0.939718111,0.998054579,0.994885971,0.996658611,0.970712936,0.982261671,0.96510747,NA,0.99464292,0.459855147,0.998873034,0.99952243,0.567170015,0.270017521,0.559925592,0.998795499,0.549267956,0.555259638,0.81239925,0.435263057,0.002710128,0.985555239,0.275482657,0.446119969,0.757173134,0.557706243,0.828323149,0.720290258,0.62002019,0.61086507,0.771299886,0.997050112,42.60316074,9
VeloAE,0.999990585,0.989761171,0.994295613,1.000011813,0.999774544,0.998939804,0.999988075,0.99915196,0.999959676,0.999940229,0.999900135,0.999960807,0.999982818,0.99999895,0.999312268,0.999691737,0.999976292,0.999948282,0.99999695,0.999915086,0.999481937,0.998664881,0.999984612,0.999997646,0.999070088,0.999973576,0.999893651,0.999987307,0.99982257,NA,1.000049947,0.999703628,0.999946472,0.99977719,1.000000469,0.999953038,0.999917481,0.99825324,0.999991145,0.999973368,NA,0.999993012,0.999924944,0.99998009,0.999939741,0.999534232,0.999882745,0.999990035,NA,0.998978443,0.999967397,0.998625336,0.994938528,0.999233856,50.9659274,18
velocyto,0.990512212,0.977534644,0.954261569,0.991963497,0.994820573,0.518949431,0.382007588,0.797058629,0.996873917,0.989160832,0.423412286,0.467220832,0.517598595,0.944745818,0.354325799,0.2003558,0.923114046,0.780891342,0.436272742,0.973897666,0.773632009,0.969257339,0.725580678,0.994668666,0.873785341,0.961118822,0.89265049,0.936803762,0.992428277,NA,0.98265565,0.341249777,0.977803967,0.99606958,0.9792359,0.884814275,0.456779241,0.997804554,0.992705947,0.994390633,0.591654706,0.979992299,0.75272032,0.532057731,0.67277343,0.547598382,0.494146063,0.992266142,0.995067917,0.57587658,0.99688258,0.3941781,0.997546868,0.996568803,41.85774265,8
VeloVAE,0.939225224,0.988526756,0.930413032,0.748193421,0.733614425,0.96691502,0.851198208,0.970771091,0.666006247,0.999112891,0.633392564,0.863646018,0.414012084,0.966249433,0.887982918,0.922229975,0.89523966,0.863156308,0.973584896,0.661750855,0.870930669,0.934073958,0.892623656,0.878710165,0.950911096,0.969576614,0.922670271,0.945593154,0.784510967,NA,0.96749811,0.780443582,0.945722699,0.645756122,0.854318878,0.69128945,0.817554999,0.741282195,0.995373104,0.641220116,0.947190299,0.698613255,0.873188357,0.783574336,0.968744759,0.683567719,0.942349856,0.674117806,0.845325461,0.983624627,0.989608803,0.521672977,0.762724694,0.769167984,44.54875176,13
veloVI,0.938209935,0.77212271,0.874737368,0.925672009,0.709166894,0.864323092,0.89662517,0.917985632,0.89843544,0.935232487,0.8123637,0.881508776,0.879869192,0.913617663,0.833807497,0.797773714,0.83167393,0.905615541,0.825392201,0.880254724,0.881872015,0.892253283,0.713954622,0.923289806,0.868732723,0.891086658,0.838681452,0.852250419,0.877438239,NA,0.934002866,0.882388584,0.931527428,0.903059712,0.878149038,0.784574516,0.8147118,0.87602206,0.885870942,0.797597421,0.703840381,0.775777795,0.805573854,0.872499541,0.80247945,0.801300611,0.881907933,0.906362988,0.906855594,0.927053056,0.889541503,0.737126479,0.899300855,0.900229991,45.53170129,14
