Method,33,22_CTCL,26,4,3,34,15,9,19,12,36,25,47,51,1,21,20,40,42,22_ctrl,30,17,18,28,8,46,24,27,55,41,11,39,62,13,49,44,37,43,63,61,31,53,14,38,32,10,48,5,7,54,29,23,45,6,AVG,Reversed_rank
cell2fate,1.221,1.1944,0.7178,1.0023,,,1.1241,0.8022,1.0452,,0.6618,0.7144,1.1128,,,1.0125,1.0369,,0.7247,1.1783,1.1894,0.9523,1.2024,,0.8008,1.0223,0.9774,1.1101,1.0104,0.6031,,,,,,,,,,0.8583,1.0899,1.1919,,,1.1021,,,,0.9451,1.059,,0.7356,,0.7106,0.9713,1
cellDancer,1.0954,0.6525,0.3692,0.5825,0.6016,0.7041,0.7701,0.7089,0.7753,0.4667,0.7065,0.521,0.8173,0.8267,0.6006,0.6251,0.8611,0.4551,0.6424,0.655,1.053,0.7182,0.893,0.6949,0.773,0.802,0.6922,0.6715,0.7866,0.6238,0.5027,0.5165,,0.9054,0.4293,0.821,0.5743,,0.4673,0.3351,0.9322,0.8858,0.5709,,0.883,0.5207,,0.3496,0.8933,0.7875,0.6778,0.8845,0.571,0.2414,0.6779,18
DeepVelo,1.2044,1.183,0.7235,0.9628,0.8899,0.9998,1.1033,0.6126,0.9907,0.9583,0.6724,0.6271,1.0374,0.85,0.6691,0.9812,1.0171,0.9324,0.7243,1.159,1.1937,0.9211,1.1777,0.6537,0.778,0.7667,0.9566,1.1309,0.8504,0.8474,0.5424,0.8397,0.5868,1.178,1.0974,0.9568,0.977,0.843,0.5387,0.8644,1.0949,1.1264,0.7452,0.6633,1.0666,0.8092,,0.6972,0.8743,1.0606,0.9657,0.7053,0.9826,0.7407,0.8968,10
k-velo,1.2164,0.9873,0.8893,0.767,0.8835,0.8818,1.1537,0.6834,0.7635,,0.566,0.6312,1.02,0.8323,0.6188,0.9762,0.9209,1.0433,0.7416,0.9593,1.2091,0.7753,1.1799,0.6924,0.7418,0.8375,0.8253,1.1248,0.8103,0.8161,0.5013,0.8715,0.8022,1.2049,,0.9554,0.8974,,0.5583,0.9056,1.1357,1.1323,0.7788,0.6242,1.0921,0.4713,,0.7531,0.8952,1.0733,,0.6205,,0.8179,0.8675,12
LatentVelo,1.0232,1.2303,0.2154,1.2031,0.9615,0.4908,0.7735,1.0219,0.3641,0.8699,0.8873,0.6685,1.0929,,0.2383,1.1257,1.1565,0.5431,0.8384,1.215,0.936,0.9211,1.073,0.5253,0.7892,,0.3454,1.2249,1.1355,,,0.8703,,1.2118,,0.427,1.2069,0.8425,0.0534,0.6785,1.2412,1.2321,0.7549,,1.2063,,,,0.8993,1.1732,0.9266,0.9765,1.1818,,0.878,11
NeuroVelo,1.218,1.2032,0.8583,1.0112,0.914,1.0347,1.1411,0.8008,1.055,0.9726,0.692,0.655,1.0776,0.8846,0.6978,1.0503,1.0289,0.9322,0.7243,1.1776,1.1901,0.9629,1.1956,0.7584,0.7782,0.7706,0.9793,1.1103,0.8471,0.6107,0.8869,0.881,0.651,1.2008,1.1287,0.9568,1.0338,0.9333,0.5854,0.8901,1.0896,1.1604,0.7462,0.7168,1.1394,0.8403,,0.7147,0.8896,0.7304,1.0045,0.7076,1.0815,1.1077,0.9322,3
PhyloVelo,,,0.7235,,0.8884,1.0309,1.1495,0.8052,1.0184,,0.7157,0.7581,1.0615,0.9298,0.8251,,,0,0.7876,,,1.076,,0.5098,0.8854,0,,1.1575,0.8504,0.9672,1.0049,,0.8302,,1.1599,0.9568,,,0.4371,0.7574,,1.1536,0.7452,1.074,,,,,0.8743,1.1356,1.0615,,1.0116,0.9352,0.9149,6
Pyro-Velocity,1.1538,,0.4966,0.8733,0.632,0.8844,1.018,0.7026,0.6077,,0.4567,0.5743,0.9434,0.6111,0.4569,0.7264,0.7554,0.6691,,1.1408,,0.5961,1.1274,,0.4927,0.9828,0.6295,,0.9739,,0.5465,,,0.988,1.0793,,0.4279,0.9378,,,,1.0462,,,0.9705,0.5601,,,0.5242,,1.055,0.3314,0.904,0.5494,0.7618,15
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817,,,,,,,,,,,,,,,,,,,,,,,,,,0.817,0
scRNAkinetics,1.2038,,0.6939,0.9809,0.8505,1.012,1.1181,0.7766,0.9922,0.9738,0.6284,0.6216,1.056,0.8407,0.6757,0.9542,1.0181,0.9029,0.7243,1.1518,1.1963,0.8836,1.1735,0.7392,0.7845,,0.9705,1.1309,1.0136,0.8474,0.7576,,,0.9935,1.1006,0.9568,0.7384,0.8758,0.5919,0.8546,1.0974,1.1495,0.7238,0.7063,1.0648,0.8132,1.0315,,0.8741,1.0606,,0.684,1.0082,0.766,0.9117,9
scVelo dynamical,1.2044,1.183,0.7235,0.9779,0.8884,1.019,1.1109,0.7806,0.9907,0.9924,0.6399,0.6271,1.0615,0.85,0.6692,0.9812,1.0171,0.8832,0.7243,1.159,1.1937,0.9211,1.1777,0.6537,0.778,0.9653,0.9566,1.1309,1.0107,0.8474,0.7888,0.8437,0.6272,1.1745,1.0977,0.9568,0.9769,0.8974,0.8684,0.5388,1.0949,1.1536,0.7452,,1.0666,0.8761,,0.6576,0.8743,1.0606,0.9658,0.7053,1.0189,0.7407,0.9202,5
scVelo stochastic,1.2043,1.183,0.7235,0.9779,0.8884,1.0155,1.1044,0.7806,0.9907,0.9584,0.64,0.6271,1.0616,0.85,0.6692,0.9812,1.0171,0.8832,0.7243,1.159,1.1901,0.9211,1.1777,0.6536,0.7772,0.9653,0.9566,1.1103,1.0041,0.6107,0.7886,0.8439,0.6313,1.1745,1.0968,0.9568,0.9769,0.8974,0.5388,0.8618,1.0896,1.1537,0.7646,,1.0666,0.8763,,0.6576,0.8743,1.0606,0.9657,0.7053,1.0186,0.7407,0.9144,7
SDEvelo,1.2043,1.183,0.7235,0.9779,0.8884,1.0156,1.1109,0.7806,0.9907,0.5805,0.6399,0.6271,1.0615,0.85,0.6692,0.9812,1.0171,0.9579,0.7225,1.159,1.1923,0.9211,1.1777,0.6535,0.7772,0.9653,0.9566,,1.0041,0.8305,0.7882,0.8435,,1.1745,1.0965,0.9935,0.9769,0.8976,0.5389,0.8684,1.2074,1.1536,0.8423,,1.0666,0.876,,,0.8743,1.0582,1.039,0.7053,1.0189,0.7407,0.9261,4
STT,1.1142,0.9996,0.7022,0.8352,0.7828,0.8575,0.96,0.7411,0.8143,,0.5508,0.5974,0.9574,,0.6075,0.7543,0.8793,0.7488,0.5914,0.9996,,0.706,1.1228,,0.6933,,0.8257,0.8972,0.9656,0.657,0.6684,,,0.9515,0.5233,,,0.9447,,,,1.0322,,0.5828,0.9945,0.5512,,0.6578,0.7035,0.8458,1.0554,0.5657,0.9542,0.5085,0.7975,14
TFvelo,1.1812,1.1848,0.7959,0.7575,0.8193,1.0803,1.1011,0.7557,0.7909,0.7009,0.5716,0.743,1.0324,0.7398,0.563,0.8719,0.8918,0.8345,,1.1545,,0.754,1.0235,,0.6198,1.0995,0.7825,1.1032,0.8695,0.7948,0.8788,0.9219,0.6988,0.9624,0.9341,0.6889,0.4807,1.1851,0.5286,0.7777,0.957,1.1026,0.7205,,1.052,0.789,,0.8458,0.6897,0.9729,0.8764,0.6114,1.0742,0.8152,0.8608,13
TopicVelo,1.2225,0.2712,,0.4427,0,0,,0,0.4495,,0,0.7076,0,0.5716,,0.2971,1.0245,,0.7224,0.3119,1.0949,0.431,0.7437,0.5332,0.5753,,0,1.1019,0.8722,0.8474,0.0807,0.0772,,,0.133,0.9561,0,0.0507,,,1.0949,0,0.4799,0.478,1.083,0.0574,,0.0668,0.5643,1.067,,0,0,0.7529,0.5988,20
UniTVelo,1.2043,1.183,0.7239,0.9779,0.8887,1.0197,1.1062,0.7806,0.9799,0.9926,0.64,0.6271,1.0635,0.85,0.6647,0.9812,1.0091,0.8866,0.7243,1.159,1.1937,0.913,1.1776,0.6618,0.7758,0.9653,0.9501,1.1309,0.8435,0.8474,0.7839,0.8439,0.636,1.1788,1.0975,0.9568,0.987,0.8975,0.539,0.8644,1.0949,1.1537,0.7462,0.6815,1.0666,0.8762,,0.6514,0.8703,1.0606,0.9655,0.694,1.0291,0.7446,0.9121,8
VeloAE,1.138,1.0582,0.6547,0.4056,0.8157,0.803,0.265,0.5884,0.7297,0.323,0.4092,0.6007,0.7032,0.5297,0.4954,0.8595,0.6881,0.3872,0.2367,1.0235,0.9801,0.4022,1.0275,0.9856,0.4384,,0.52,0.9281,0.6395,0.7001,0.6236,0.8442,0.581,1.1195,0.6575,0.37,0.4495,0.8898,0.3402,0.2966,0.9551,0.6837,0.5765,0.4592,1.0727,0.4198,,0.5579,0.3853,0.7306,,0.4025,0.8531,0.5509,0.6501,19
velocyto,1.1703,1.1935,0.4795,0.7064,0.8772,0.8778,0.731,0.6841,0.6032,0.7998,0.584,0.5419,0.8611,0.913,0.488,0.5213,0.5627,0.613,0.5911,1.1784,1.1425,0.6298,0.8742,0.5528,0.5697,0.7026,0.4155,1.1097,0.8743,0.5195,0.7602,0.7935,0.5153,1.0447,1.1387,0.7414,0.5454,0.8787,0.3675,0.6196,0.9795,1.0469,0.8075,0.4696,1.0183,0.8355,,0.5945,0.5969,0.937,0.7222,0.4356,1.0214,0.6297,0.7522,16
VeloVAE,1.2044,1.1853,0.7449,1.0002,0.9169,1.0403,1.1096,0.7936,1.0001,0.9732,0.65,0.6425,1.0792,0.8687,0.6819,0.9829,1.0246,0.899,0.7364,1.1611,1.1939,0.9301,1.1818,0.6884,0.7929,0.8305,0.9747,1.1124,0.853,0.873,0.8056,0.8774,0.729,1.179,1.112,0.9615,0.9943,0.9154,0.7778,0.9134,1.0969,1.1601,0.7735,,1.071,0.8883,,0.6812,0.8849,1.0657,0.9475,0.7108,1.0492,0.865,0.9343,2
veloVI,1.1439,0.9774,0.576,0.821,0.7692,0.7639,0.6549,0.7212,0.6905,0.6819,0.5576,0.6012,0.85,0.7333,0.5564,0.7227,0.8235,0.6209,0.5986,0.6694,1.1193,0.6916,1.0719,0.5342,0.6591,0.9115,0.7782,0.882,0.9775,0.6805,0.5258,0.6766,0.5875,1.0702,0.5804,0.6822,0.628,0.7102,0.4265,0.7163,0.9372,0.7647,0.6354,,0.8886,0.6308,,0.5098,0.6669,0.8679,0.7744,0.4751,0.8066,0.3663,0.7263,17
