Method,10_consecutive-bifurcating_cell1000_gene10000,11_trifurcating_cell1000_gene10000,12_trifurcating_cell1000_gene10000,13_trifurcating_cell1000_gene10000,14_linear-bifurcating_cell10000_gene1000,15_linear-linear_cell10000_gene500,16_bifurcating_cell500_gene500,1_linear-simple_cell1000_gene10000,2_linear-simple_cell10000_gene1000,3_cycle-simple_cell10000_gene1000,4_cycle-simple_cell1000_gene10000,5_bifurcating_cell1000_gene10000,6_bifurcating_cell500_gene10000,7_bifurcating-loop_cell1000_gene10000,8_bifurcating-loop_cell1000_gene10000,9_consecutive-bifurcating_cell500_gene10000,bifurcating-loop_cell100000_gene1000,bifurcating-loop_cell10000_gene1000,bifurcating-loop_cell10000_gene10000,bifurcating-loop_cell10000_gene500,bifurcating-loop_cell1000_gene1000,bifurcating-loop_cell1000_gene10000,bifurcating-loop_cell1000_gene500,bifurcating-loop_cell50000_gene1000,bifurcating-loop_cell500_gene1000,bifurcating-loop_cell500_gene10000,bifurcating-loop_cell500_gene500,bifurcating_cell100000_gene1000,bifurcating_cell10000_gene1000,bifurcating_cell10000_gene10000,bifurcating_cell10000_gene500,bifurcating_cell1000_gene1000,bifurcating_cell1000_gene10000,bifurcating_cell1000_gene500,bifurcating_cell50000_gene1000,bifurcating_cell500_gene1000,bifurcating_cell500_gene10000,bifurcating_cell500_gene500,consecutive-bifurcating_cell100000_gene1000,consecutive-bifurcating_cell10000_gene1000,consecutive-bifurcating_cell10000_gene500,consecutive-bifurcating_cell1000_gene1000,consecutive-bifurcating_cell1000_gene10000,consecutive-bifurcating_cell1000_gene500,consecutive-bifurcating_cell50000_gene1000,consecutive-bifurcating_cell500_gene1000,consecutive-bifurcating_cell500_gene10000,consecutive-bifurcating_cell500_gene500,cycle-simple_cell100000_gene1000,cycle-simple_cell10000_gene1000,cycle-simple_cell10000_gene10000,cycle-simple_cell10000_gene500,cycle-simple_cell1000_gene1000,cycle-simple_cell1000_gene10000,cycle-simple_cell1000_gene500,cycle-simple_cell50000_gene1000,cycle-simple_cell500_gene1000,cycle-simple_cell500_gene10000,cycle-simple_cell500_gene500,disconnected_cell100000_gene1000,disconnected_cell10000_gene1000,disconnected_cell10000_gene10000,disconnected_cell10000_gene500,disconnected_cell1000_gene1000,disconnected_cell1000_gene10000,disconnected_cell1000_gene500,disconnected_cell50000_gene1000,disconnected_cell500_gene1000,disconnected_cell500_gene10000,disconnected_cell500_gene500,linear-simple_cell100000_gene1000,linear-simple_cell10000_gene1000,linear-simple_cell10000_gene10000,linear-simple_cell10000_gene500,linear-simple_cell1000_gene1000,linear-simple_cell1000_gene10000,linear-simple_cell1000_gene500,linear-simple_cell50000_gene1000,linear-simple_cell500_gene1000,linear-simple_cell500_gene10000,linear-simple_cell500_gene500,trifurcating_cell10000_gene1000,trifurcating_cell10000_gene500,trifurcating_cell1000_gene1000,trifurcating_cell1000_gene10000,trifurcating_cell1000_gene500,trifurcating_cell500_gene1000,trifurcating_cell500_gene10000,trifurcating_cell500_gene500,AVG,Rank,Reversed_rank
cell2fate,0.93441166,0.988248015,0.887675558,0.989630395,,,,0.842305801,,,,0.939194338,0.948314977,0.854985659,0.985836652,0.947378893,,0.763787616,,,,0.483815239,0.91444993,,,0.765579752,0.985889537,,,,,0.959455974,0.519353847,0.926814314,,,0.763019038,0.920607769,,0.5579425,0.835869239,,0.976706347,0.94732734,,,0.929479759,0.965757055,,0.997465426,,,,0.983476424,0.913997341,,,0.793209574,0.928228765,,,,,,0.777188634,0.892754384,,,0.801641677,0.966285126,,0.644859687,,,,0.972189839,0.909537136,,,0.875339341,0.906670765,,,,0.992284966,0.872038036,0.992243883,0.983542692,0.949594077,0.881919666,5,15
cellDancer,0.059708629,0.069373009,0.069373009,0.818801375,0.092690832,0.159119319,0.700752072,0.007321472,0.887881439,0.909933643,0.009721457,0.065772528,0.022762609,0.007655778,0.850291351,0.092610247,,0.062494532,0.02696766,0.087570854,0.071397607,0.006494179,0.150322507,,0.086405977,0.00782613,0.102642653,,0.066450473,0.01539298,0.105717147,0.073620525,0.007548703,0.137898386,,0.073618909,0.01049521,0.146032752,,0.091504622,0.085168136,0.602934882,0.64087507,0.707345349,,0.593460955,0.093448889,0.105666755,,0.911014532,0.020449638,0.149877726,0.068981433,0.598893796,0.117101665,,0.077672183,0.006456861,0.09176498,,0.112191225,0.017646445,0.159376885,0.101602731,0.015325452,0.132503038,,0.128436817,0.01078585,0.149144875,,0.886889518,0.018742358,0.151304573,0.065545653,0.65397876,0.103797448,,0.080582916,0.001248843,0.159763117,0.067882251,0.104900934,0.66735178,0.649830032,0.655239342,0.636871741,0.645207753,0.113406645,0.22746546,18,2
DeepVelo,0.949850138,0.935938942,0.839704377,0.996760951,0.708367308,0.918629103,0.948423373,0.30434709,0.952527841,0.998269238,0.278140473,0.883338611,0.653612972,0.356212598,0.996330403,0.935007121,0.805561886,0.722048362,0.225029974,0.912224483,0.852669267,0.359142968,0.938861117,0.769570308,0.8118507,0.400555824,0.943280997,0.994924465,0.578992257,0.31535142,0.82409457,0.807706097,0.320224644,0.951472422,0.79685834,0.880905362,0.356212478,0.948727161,0.790455168,0.667604846,0.860356937,0.979017176,0.996810429,0.979693035,0.79132915,0.959462138,0.88058696,0.960600225,0.66722618,0.998396797,0.20377464,0.907315007,0.783100851,0.991879985,0.909300601,0.674405754,0.858604451,0.358159228,0.932680683,0.809839938,0.73811669,0.220698681,0.931147589,0.899831166,0.329940446,0.945388866,0.473215934,0.9435924,0.405662239,0.967314659,0.654012684,0.998781385,0.228526266,0.945402852,0.798447677,0.991751235,0.841707448,0.603505465,0.754330543,0.337017782,0.906529282,0.607344141,0.851776813,0.998150193,0.996330873,0.997268983,0.994664734,0.995652965,0.866259164,0.768030281,9,11
k-velo,,,,,,,,,,,,,,,,,0.375922046,0.181133316,0.131804729,0.210812809,0.563031576,,0.367664912,0.350280898,0.331741927,,0.17631376,0.361510102,0.067307916,,0.208788896,0.403439772,,0.244118895,0.342501846,,,0.296822374,0.352318178,0.076579739,0.13937652,0.867139422,0.778930219,0.843528564,0.365096606,0.920972217,0.144837062,0.238415733,0.257386004,0.773625352,0.118018464,0.317012239,0.552974688,0.788465649,0.552430673,0.255576275,,,0.319900304,0.388924015,0.243161482,0.278042795,0.37102974,0.160817271,,0.451959394,0.004111069,0.162957668,,0.393668304,0.270319705,0.923580066,0.138679153,0.181923255,0.610698547,0.687653407,0.180916232,0.244331964,,,0.188303729,0.036403114,0.10065729,0.877209374,0.723363425,0.914926281,0.923648387,0.778668008,0.215916198,0.388977862,15,5
LatentVelo,0.995748819,0.994587318,0.993287534,0.999728575,0.999616676,0.999889377,0.999819462,0.997689435,0.998765045,0.993702002,,0.997753634,0.997326733,,0.999617882,0.995520353,,0.999652455,0.999877287,0.99962454,0.99697773,,0.999130695,,0.995596024,,0.998438164,,0.999621567,0.999274458,0.99891061,0.997376078,,0.994237107,,0.997049854,,0.991963236,,0.999688215,0.999521125,0.999892638,0.999676179,0.999450183,,0.999520344,0.996246321,0.997108824,,0.993702002,0.99995803,0.999192252,0.997752707,0.999170663,0.99643455,,0.990044327,,0.99238825,,0.999649821,0.999838578,0.999293488,0.991409067,0.999052402,0.999089058,,0.996641899,,0.99498949,,0.998765045,0.999886817,0.998602823,0.998717605,0.999663098,0.99391287,,0.993916772,,0.98865683,0.999948959,0.999813046,0.999873399,0.999292022,0.999849817,0.999516302,0.999778911,0.991960032,0.997538933,3,17
NeuroVelo,0.996317982,0.996899963,0.996899963,0.999992902,0.999784384,0.999978062,0.999972228,0.996719706,0.999957153,0.999962386,0.99697055,0.996523353,0.996290321,0.996287683,0.999988655,0.995069443,0.999852386,0.999957842,0.999509617,0.999995558,0.993344443,0.997256769,0.996913086,0.999946905,0.989857953,0.997651959,0.994075978,0.999792818,0.999731844,0.997129329,0.999951622,0.99468569,0.997459334,0.997837524,0.999919455,0.990685617,0.997700063,0.997243809,0.999896174,0.999865369,0.999940988,0.999987488,0.999993704,0.999986357,0.999894759,0.99998335,0.994467285,0.996900674,0.999901427,0.999965475,0.999473811,0.999970507,0.990348658,0.999973131,0.995632416,0.999249294,0.98806544,0.996612958,0.994157756,0.99996153,0.999820353,0.998671687,0.999951974,0.996768126,0.997036695,0.998174313,0.999952469,0.994487053,0.997019155,0.9956839,0.999899862,0.999974771,0.999316074,0.999986697,0.993740703,0.999979006,0.995643319,0.999923943,0.99121525,0.996651284,0.994463041,0.999681304,0.999950187,0.99997433,0.999989545,0.999986106,0.999979531,0.999970446,0.99557269,0.997818053,2,18
PhyloVelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Pyro-Velocity,0.506306741,0.361875734,0.361875734,0.3797257,0.395619635,0.4138929,0.199746639,0.258919693,0.61419329,0.348433198,0.28851264,0.225838712,0.325447034,0.28271065,0.348835996,0.216354216,,0.345187049,0.389748311,0.287186205,0.295117978,0.250133978,0.317198503,,0.24648662,0.292375733,0.309287411,,,,,,,,,,,,,0.452178582,0.481921611,0.398694494,0.302060914,0.339604223,,0.437432262,0.216354216,0.39126875,,0.371093861,0.509880017,0.330997004,0.241598908,0.325301476,0.212689449,,0.186609247,0.293138973,0.221619663,,0.323938963,0.285674295,0.366250154,,0.295035942,,,,0.260660289,,,0.61419329,0.567923967,0.317886532,0.245126744,0.216981094,0.217183855,,0.199550306,0.28677061,0.277191208,0.485699601,0.452888963,,0.43692716,,,0.330919825,,0.335904279,17,3
Region Velocity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
scRNAkinetics,,,,,,,,,,,,,,,,,,0.319309843,,,0.076853818,0.049551375,0.139120421,,0.125109579,0.098641285,0.196858846,,0.066551019,,,0.066060647,0.063378935,0.073415277,,0.046140897,0.109956812,0.013488286,,0.063534652,,0.135756438,0.140416745,0.088345826,,0.114122544,0.134597939,,,0.318563396,,,0.072082734,0.242197677,0.11644277,,0.118803753,0.132956737,,,0.18901552,,0.180337047,0.074543103,0.105881417,0.11296268,,0.148316459,0.143924792,,,0.423231609,0.083016309,0.633615119,0.406391266,0.398424581,0.575907917,,0.398484711,,0.420290394,0.060542354,,0.109849676,0.076706586,0.188120991,0.094991896,0.186221448,,0.173043279,19,1
scVelo dynamical,0.89548533,0.818766927,0.818766927,0.922340134,0.884197989,0.955245879,0.918036783,0.833770819,0.995128214,0.970519255,0.746288306,0.857796276,0.769341124,0.777686178,0.909061743,0.914281011,0.957469529,0.952632244,0.783848155,0.913533982,0.815009108,0.818022903,0.882758911,0.941073396,0.883483097,0.818992896,0.863320569,0.907878361,0.892605569,0.785131652,0.93170986,0.928254123,0.798680675,0.917248232,0.948082878,0.941126418,0.77705598,0.947260645,0.951218608,0.761269698,0.817626079,0.895055286,0.871388747,0.946665045,0.97604397,0.830791795,0.881220263,0.890092883,0.927927103,0.970002002,0.791102361,0.847861876,0.833156541,0.870219369,0.881143569,0.924599691,0.895888886,0.855459483,0.894984522,0.978651887,0.885593592,0.801251884,0.915317874,0.928352235,0.727546089,0.912851882,0.560201536,0.926392713,0.772315216,0.939360806,,0.994473699,0.759265561,0.887930662,0.889823545,0.862960228,0.925287371,,0.903896801,0.878806266,0.883345714,0.890118968,0.862392287,0.935145029,0.796432598,0.876276803,0.913112791,0.892245765,0.880893238,0.876848884,6,14
scVelo stochastic,0.654347287,0.579150233,0.579150233,0.925351784,0.372578071,0.421460126,0.806385183,0.258810832,0.969739331,0.96451876,0.193853495,0.551523203,0.30423254,0.221393859,0.853397349,0.659858257,0.615594312,0.38987314,0.179357958,0.434398985,0.452713144,0.23993594,0.515933062,0.498743671,0.521594695,0.204627157,0.489920661,0.49254625,0.370834183,0.256505416,0.344007566,0.440608388,0.188202875,0.446024311,0.521397635,0.551387691,0.216694243,0.525467992,0.56910301,0.309213729,0.354217771,0.9113297,0.883531179,0.864670415,0.527157086,0.886803052,0.586119019,0.625753806,0.510428217,0.965363107,0.195215452,0.432181452,0.476238942,0.871366398,0.555285387,0.438765976,0.491684715,0.30520155,0.528400306,0.575304366,0.373711349,0.213912216,0.436282623,0.457244339,0.207463706,0.554576302,0.36891711,0.536993001,0.195956227,0.647426359,0.451608433,0.968993508,0.220150382,0.405304867,0.350998888,0.858419865,0.310847043,0.383700621,0.310810008,0.230094464,0.375507084,0.309159084,0.318985335,0.913635909,0.854251365,0.899335265,0.912191742,0.897056574,0.461767731,0.511244448,13,7
SDEvelo,0.887353838,0.53902708,0.53902708,0.998646774,0.733199798,0.930201119,0.919187974,0.995394158,0.996921126,0.996807279,,0.495995215,0.556666087,0.832944441,0.99493613,0.558448607,,0.590111008,0.99664925,0.422764557,0.392138827,,0.671837274,,0.473122808,,0.513806297,0.996626079,0.656134326,0.830037642,0.936443351,0.660583398,,0.477654174,0.815934119,0.571436255,,0.538448527,,0.362809656,0.615977911,0.996621404,0.996361887,0.993631139,,0.997168179,0.558448607,0.715168602,,0.996807279,0.991875255,0.562664174,0.507162507,0.98462664,0.414638092,,0.486173274,,0.537595293,,0.960859367,0.967085308,0.966132621,0.610703861,0.592330995,0.677681373,,0.791705058,,0.888780068,,0.996921126,0.992818115,0.291124034,0.629070543,0.991941,0.36008978,,0.264460671,,0.39062229,0.529557519,0.371343296,0.996105521,0.993968779,0.994129095,0.994143518,0.995180557,0.450561694,0.731458179,10,10
STT,0.650923329,0.269858612,0.269858612,0.771097582,0.609911734,0.608475273,,,0.901284097,0.863884015,,0.416541562,0.724313123,,0.878814969,0.45068987,,0.188313801,,0.330873998,0.352408007,,0.559004474,,0.455078768,,0.542169767,,,,,,,0.306369194,,0.219726288,,0.383825619,,0.426022759,0.462424526,0.843722289,0.878613918,0.90863877,,0.876332954,0.464016506,0.511195037,,0.863884015,,0.474606552,0.44901898,0.931081757,0.549168344,,0.367547365,,0.594880456,,0.619285223,,0.673372195,,,,,0.385284832,,,,0.879977465,,0.460625138,0.201860217,0.881252386,0.058655993,,0.0337409,,0.17173657,0.235021243,0.271199073,,0.853689034,0.874949629,0.821605341,0.81880442,,0.549916088,12,8
TFvelo,0.967399933,0.977092422,0.977092422,0.999808284,0.91888897,0.942938493,0.998635763,0.331468771,0.998201337,0.999157407,0.445722158,0.963001824,0.66511726,0.491537796,0.999096959,0.981286358,,0.904914131,,,0.914343305,0.389654136,0.970303179,0.929867011,,0.014454404,0.890921544,,0.90527353,0.98858878,0.951175168,0.916403336,0.57548392,0.938879386,0.950494526,,0.339961532,0.997853561,,0.979950881,0.978893459,0.999946163,0.999805549,0.998714987,0.950420664,,0.99649596,0.978046671,,0.999160354,0.99356327,0.976378421,0.906293246,0.997982027,0.936061022,0.953940477,0.904878259,0.215867425,0.935473504,,0.935029802,,,0.901710352,0.524328085,0.950905029,0.888427418,,0.331739543,0.944458147,,0.998249641,0.991601443,0.957120278,0.813239692,0.993468419,0.928192455,0.877270329,,,0.906984278,0.940795931,0.980469385,0.997604231,0.996796066,1.000123857,0.996954084,0.99360937,0.921512044,0.872705203,7,13
TopicVelo,,,,,,,,,,,,,,,,,,,0.190409677,0.434785782,,,,,,,,,,,,,,,,,,,,,,0.913655081,0.884367537,0.892907803,,0.898918478,,,,0.961075649,0.204881983,,,0.867896405,,,,,,,,0.236900299,,,,,,,,,,0.961239658,0.223569578,,,0.853108932,,,,,,,,0.892283967,0.851940561,0.904613046,0.90170467,0.880164213,,0.719690184,11,9
UniTVelo,0.430353907,0.233955386,0.233955386,0.939766071,0.30866656,0.397460911,0.787736487,0.074152387,0.972626952,0.898218418,0.105841067,0.262273174,0.154071724,0.110597416,0.885463147,0.383689354,0.558594412,0.244898539,0.085535645,0.222877348,0.189073558,0.193161426,0.404974212,0.472549432,0.193371692,0.119758826,0.258489647,0.461275394,0.206187482,0.083286962,0.336656648,0.28704763,0.166641979,0.330231088,0.479010914,0.394837344,0.123099757,0.279363012,0.531424068,0.150189213,0.142738357,0.703543646,0.674913545,0.767663682,0.52448607,0.736260243,0.383689354,0.312338428,0.40534154,0.905631636,0.091014135,0.290691489,0.310673889,0.740079705,0.396740335,0.354563989,0.222430054,0.099577475,0.352342836,0.554876648,0.29139442,0.095164129,0.38531825,0.297510309,0.189001726,0.368744026,0.330007755,0.447361466,0.101676649,0.54522146,0.380098895,0.983774103,0.103103612,0.32915411,0.180850313,0.653827193,0.261997117,0.332946049,0.15903057,0.118618123,0.22360298,0.124595293,0.146263358,0.777662274,0.571318862,0.771358193,0.81725996,0.673202993,0.171531971,0.379242222,16,4
VeloAE,0.999676496,0.999938906,0.999955747,0.999120396,0.999989606,0.999663886,0.999431582,,0.999632188,0.999695178,,0.999672943,,,0.999282997,0.999394005,0.999936218,0.999959381,0.999993474,0.999968591,0.999625603,,0.999184147,0.999963125,0.999358215,,0.999912268,0.99989351,0.999895086,0.999996161,0.999940989,0.999661325,,0.999119856,0.99997046,0.998278835,,0.999196482,0.999893036,0.999979864,0.999943512,0.999737936,0.99985641,0.999120405,0.999945726,0.998339681,0.999860868,0.999950498,0.999863113,0.999804722,0.999998096,0.999548457,0.999267875,0.994230774,0.999597231,0.999918773,0.998317677,,0.999983843,0.999849773,0.999914311,0.999998059,0.999789207,0.999508454,,0.999092902,0.99975019,0.99510049,,0.999784923,0.999786509,0.999313907,1.000001328,0.999846838,0.999989634,0.998126602,0.999993585,0.999949161,0.99999425,,0.999974671,0.999989965,0.999580346,0.998865616,0.999674834,0.999172358,0.999293813,0.999660586,0.999991567,0.999512468,1,19
velocyto,0.128666235,0.113163885,0.113163885,0.36779416,0.677868702,0.86798773,0.446505095,0.023279209,0.996571432,0.995980474,0.031741749,0.125600146,0.036835507,0.036177429,0.447483316,0.156916614,0.932788488,0.335368224,0.992264223,0.85804877,0.081003226,0.030153219,0.140396674,0.883900585,0.10628296,0.046115244,0.142018139,0.89575193,0.706675755,0.331519391,0.548739559,0.096471518,0.030423261,0.126612353,0.887385557,0.102426826,0.04164898,0.177689104,0.904965564,0.456992614,0.380018056,0.541887125,0.490351282,0.449125367,0.892008676,0.551915074,0.133827222,0.186775834,0.887887353,0.996478328,0.989503294,0.900986171,0.083939396,0.507509586,0.106903267,0.844095918,0.101858952,0.064648221,0.151258495,0.904540967,0.705464027,0.876469653,0.954021416,0.141385786,0.016334311,0.18102605,0.351474775,0.170443754,0.031023313,0.233793926,0.884819683,0.995447356,0.987163713,0.746868406,0.05685311,0.52014226,0.074456456,0.7428462,0.089137991,0.070641381,0.129559739,0.544689544,0.95266791,0.539106903,0.470618313,0.514661832,0.550198083,0.469518261,0.157516308,0.435339851,14,6
VeloVAE,0.823563191,0.898178038,0.822681287,0.982234747,0.902204356,0.994932861,0.987164176,0.797987498,0.996339707,0.997369618,0.340587141,0.900382533,0.523575439,0.359287954,0.981022221,0.903231533,0.920796974,0.983345656,0.974687852,0.99409237,0.963105815,0.82254879,0.964112532,0.852781236,0.983537036,0.888192552,0.980604404,0.985283009,0.92577968,0.955303605,0.925001039,0.921216739,0.323571349,0.976944499,0.95827811,0.950433382,0.886528488,0.975503926,0.82502778,0.982670343,0.923020778,0.99375686,0.976609632,0.988374144,0.953248954,0.995469636,0.892789265,0.987814195,0.853244913,0.996572627,0.976054481,0.985093744,0.827210952,0.865046315,0.903691686,0.803047489,0.931913792,0.274078675,0.995151196,0.9842592,0.947780011,0.942800723,0.945763339,0.804271299,0.401943159,0.928964521,0.900889083,0.771494071,0.918849507,0.962303325,0.963694074,0.996852031,0.975955044,0.991778457,0.916350927,0.907984636,0.991372146,0.969699087,0.908909265,0.889300164,0.901995458,0.70300184,0.905497095,0.992352928,0.941326973,0.975434306,0.977607989,0.950614334,0.914332708,0.893659062,4,16
veloVI,0.900526162,0.746840779,0.752485496,0.906625239,0.745603343,0.898739841,0.917869132,0.322665345,0.982607886,0.980677919,0.827799246,0.76537465,0.598555445,0.547819248,0.890413334,0.874457034,0.96499078,0.794517506,0.977904104,0.870438652,0.714167459,0.378579934,0.835144259,0.947810299,0.747375164,0.256265311,0.797497559,0.940687549,0.737901077,0.497415108,0.821902248,0.775003367,0.279459378,0.76874302,0.954520543,0.737825125,0.185935985,0.812831174,0.955955608,0.631342019,0.789901634,0.915485521,0.907637886,0.927652198,0.956708557,0.884882244,0.764337061,0.897913755,0.949031596,0.980122239,0.969176015,0.906402748,0.757710644,0.860931308,0.836131603,0.922136776,0.695155782,0.241490757,0.78246615,0.956468599,0.795848143,0.9471781,0.890707531,0.771266603,0.238252651,0.848323905,0.600953427,0.867189429,0.191395371,0.86505352,0.930861693,0.981165794,0.981556867,0.925445669,0.583865183,0.89800388,0.778118532,0.915263239,0.464509405,0.311481053,0.717482379,0.788308778,0.788826342,0.937600771,0.86667479,0.907558776,0.890275491,0.822876275,0.620072063,0.776080136,8,12
